match_day,name,hand,score,attempts
1,Arielle,R,8,20
2,Arielle,R,10,20
3,Arielle,R,6,20
4,Arielle,L,4,20
5,Arielle,R,7,20
6,Arielle,R,9,20
7,Arielle,R,9,20
8,Arielle,L,5,20
9,Arielle,R,13,20
10,Arielle,R,8,20
11,Arielle,L,6,20
12,Arielle,L,3,20
13,Arielle,R,7,20
14,Arielle,R,10,20
15,Arielle,L,6,20
16,Arielle,R,6,20
17,Arielle,L,6,20
18,Arielle,R,7,20
19,Arielle,R,8,20
20,Arielle,R,8,20
21,Arielle,R,9,20
22,Arielle,L,1,20
23,Arielle,L,7,20
24,Arielle,R,9,20
25,Arielle,R,6,20
26,Arielle,L,5,20
27,Arielle,R,8,20
28,Arielle,R,3,20
29,Arielle,R,10,20
30,Arielle,L,8,20
31,Arielle,R,8,20
32,Arielle,R,5,20
33,Arielle,R,5,20
34,Arielle,L,4,20
35,Arielle,L,3,20
36,Arielle,R,10,20
37,Arielle,L,3,20
38,Arielle,R,9,20
39,Arielle,R,9,20
40,Arielle,R,8,20
41,Arielle,R,4,20
42,Arielle,R,10,20
43,Arielle,R,8,20
44,Arielle,R,9,20
45,Arielle,R,7,20
46,Arielle,R,6,20
47,Arielle,L,3,20
48,Arielle,R,7,20
49,Arielle,R,3,20
50,Arielle,L,8,20
1,Boris,L,7,20
2,Boris,L,3,20
3,Boris,L,10,20
4,Boris,L,3,20
5,Boris,L,5,20
6,Boris,L,7,20
7,Boris,R,10,20
8,Boris,L,4,20
9,Boris,L,7,20
10,Boris,L,8,20
11,Boris,L,3,20
12,Boris,L,6,20
13,Boris,L,2,20
14,Boris,L,4,20
15,Boris,R,9,20
16,Boris,R,10,20
17,Boris,L,9,20
18,Boris,R,6,20
19,Boris,R,7,20
20,Boris,L,6,20
21,Boris,L,3,20
22,Boris,L,4,20
23,Boris,L,7,20
24,Boris,R,10,20
25,Boris,R,7,20
26,Boris,L,7,20
27,Boris,L,6,20
28,Boris,L,5,20
29,Boris,R,9,20
30,Boris,L,5,20
31,Boris,R,11,20
32,Boris,L,5,20
33,Boris,R,8,20
34,Boris,L,11,20
35,Boris,L,8,20
36,Boris,L,9,20
37,Boris,R,8,20
38,Boris,L,3,20
39,Boris,R,11,20
40,Boris,L,5,20
41,Boris,L,6,20
42,Boris,L,5,20
43,Boris,L,4,20
44,Boris,R,11,20
45,Boris,L,7,20
46,Boris,R,10,20
47,Boris,L,4,20
48,Boris,R,12,20
49,Boris,L,4,20
50,Boris,L,7,20
